CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 48.785156 1771676805.9010
MEM 48.785156 1771676806.0135
MEM 48.785156 1771676806.1262
MEM 48.785156 1771676806.2387
MEM 48.785156 1771676806.3510
MEM 48.785156 1771676806.4669
MEM 48.785156 1771676806.5868
MEM 48.785156 1771676806.7129
MEM 48.785156 1771676806.8354
MEM 48.785156 1771676806.9556
MEM 48.785156 1771676807.0680
MEM 48.785156 1771676807.1806
MEM 48.808594 1771676807.2996
