CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 4725.628906 1771676634.9693
MEM 4725.628906 1771676635.0951
MEM 4725.628906 1771676635.2158
MEM 4725.628906 1771676635.3283
MEM 4725.628906 1771676635.4469
MEM 4725.628906 1771676635.5679
MEM 4725.628906 1771676635.6895
MEM 4725.628906 1771676635.8120
MEM 4725.628906 1771676635.9318
MEM 4725.628906 1771676636.0443
MEM 4725.628906 1771676636.1568
MEM 4725.628906 1771676636.2693
MEM 4725.628906 1771676636.3823
MEM 4725.628906 1771676636.4971
MEM 4725.628906 1771676636.6120
MEM 4725.628906 1771676636.7283
MEM 4725.628906 1771676636.8407
MEM 4725.628906 1771676636.9591
MEM 4725.628906 1771676637.0789
MEM 4725.628906 1771676637.2001
MEM 4725.628906 1771676637.3183
MEM 4725.628906 1771676637.4308
MEM 4725.628906 1771676637.5536
MEM 4725.628906 1771676637.6709
MEM 4725.628906 1771676637.7903
MEM 4725.628906 1771676637.9085
MEM 4725.628906 1771676638.0210
MEM 4725.628906 1771676638.1393
MEM 4725.628906 1771676638.2864
MEM 4725.628906 1771676638.4316
MEM 4725.628906 1771676638.5621
MEM 4725.628906 1771676638.6748
MEM 4725.628906 1771676638.7917
MEM 4725.628906 1771676638.9044
MEM 4725.628906 1771676639.0225
MEM 4725.628906 1771676639.1400
MEM 4725.628906 1771676639.2572
MEM 4725.628906 1771676639.3716
MEM 4725.628906 1771676639.4875
MEM 4725.628906 1771676639.6268
MEM 4725.628906 1771676639.7505
MEM 4725.628906 1771676639.8952
MEM 4725.628906 1771676640.0160
MEM 4725.628906 1771676640.1324
MEM 4725.628906 1771676640.2450
MEM 4725.628906 1771676640.3576
MEM 4725.628906 1771676640.4818
MEM 4725.628906 1771676640.6045
MEM 4725.628906 1771676640.7265
MEM 4725.628906 1771676640.8498
MEM 4725.628906 1771676640.9727
MEM 4725.628906 1771676641.0943
MEM 4725.628906 1771676641.2156
MEM 4725.628906 1771676641.3285
MEM 4725.628906 1771676641.4418
MEM 4725.628906 1771676641.5588
MEM 4725.628906 1771676641.6798
MEM 4725.628906 1771676641.7936
MEM 4725.628906 1771676641.9082
MEM 4725.628906 1771676642.0209
MEM 4725.628906 1771676642.1341
MEM 4725.628906 1771676642.2495
MEM 4725.628906 1771676642.3620
MEM 4725.628906 1771676642.4778
MEM 4725.628906 1771676642.5907
MEM 4725.628906 1771676642.7061
MEM 4725.628906 1771676642.8186
MEM 4725.628906 1771676642.9309
MEM 4725.628906 1771676643.0432
MEM 4725.628906 1771676643.1560
MEM 4725.628906 1771676643.2684
MEM 4725.628906 1771676643.3808
MEM 4725.628906 1771676643.5005
MEM 4725.628906 1771676643.6180
MEM 4725.628906 1771676643.7609
MEM 4725.628906 1771676643.8818
MEM 4725.628906 1771676643.9988
MEM 4725.628906 1771676644.1263
MEM 4725.628906 1771676644.2494
MEM 4725.628906 1771676644.3685
MEM 4725.628906 1771676644.5014
MEM 4725.628906 1771676644.6207
MEM 4725.628906 1771676644.7393
MEM 4725.628906 1771676644.8914
MEM 4725.628906 1771676645.0110
MEM 4725.628906 1771676645.1312
MEM 4725.628906 1771676645.2634
MEM 4725.628906 1771676645.4182
MEM 4204.101562 1771676645.5436
MEM 3136.847656 1771676645.6641
MEM 1927.097656 1771676645.7800
MEM 717.347656 1771676645.8997
MEM 50.898438 1771676646.0267
