CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 4469.023438 1771676136.7743
MEM 4504.261719 1771676136.9204
MEM 4531.546875 1771676137.0348
MEM 4571.390625 1771676137.1477
MEM 4609.203125 1771676137.2750
MEM 4641.335938 1771676137.3942
MEM 4678.195312 1771676137.5084
MEM 4718.187500 1771676137.6219
MEM 4721.453125 1771676137.7584
MEM 4721.453125 1771676137.8817
MEM 4721.453125 1771676138.0020
MEM 4721.453125 1771676138.1224
MEM 4721.453125 1771676138.2529
MEM 4721.453125 1771676138.3771
MEM 4721.453125 1771676138.4933
MEM 4721.453125 1771676138.6082
MEM 4721.453125 1771676138.7232
MEM 4721.453125 1771676138.8378
MEM 4721.453125 1771676138.9517
MEM 4721.453125 1771676139.0648
MEM 4721.453125 1771676139.1776
MEM 4721.453125 1771676139.2904
MEM 4721.453125 1771676139.4042
MEM 4721.453125 1771676139.5174
MEM 4721.453125 1771676139.6329
MEM 4721.453125 1771676139.7520
MEM 4721.453125 1771676139.8709
MEM 4721.453125 1771676139.9892
MEM 4721.453125 1771676140.1076
MEM 4721.453125 1771676140.2304
MEM 4721.453125 1771676140.3532
MEM 4721.453125 1771676140.4751
MEM 4721.453125 1771676140.5976
MEM 4721.453125 1771676140.7207
MEM 4721.453125 1771676140.8425
MEM 4721.453125 1771676140.9639
MEM 4721.453125 1771676141.0830
MEM 4721.453125 1771676141.1963
MEM 4721.453125 1771676141.3088
MEM 4721.453125 1771676141.4216
MEM 4721.453125 1771676141.5428
MEM 4721.453125 1771676141.6644
MEM 4721.453125 1771676141.7860
MEM 4721.453125 1771676141.9075
MEM 4721.453125 1771676142.0281
MEM 4721.453125 1771676142.1404
MEM 4721.453125 1771676142.2536
MEM 4721.453125 1771676142.3689
MEM 4721.453125 1771676142.4896
MEM 4721.453125 1771676142.6024
MEM 4721.453125 1771676142.7235
MEM 4721.453125 1771676142.8450
MEM 4721.453125 1771676142.9592
MEM 4721.453125 1771676143.0724
MEM 4721.453125 1771676143.1848
MEM 4721.453125 1771676143.2996
MEM 4721.453125 1771676143.4121
MEM 4721.453125 1771676143.5243
MEM 4721.453125 1771676143.6370
MEM 4721.453125 1771676143.7498
MEM 4721.453125 1771676143.8625
MEM 4721.453125 1771676143.9754
MEM 4721.453125 1771676144.0882
MEM 4721.453125 1771676144.2059
MEM 4721.453125 1771676144.3182
MEM 4721.453125 1771676144.4305
MEM 4721.453125 1771676144.5428
MEM 4721.453125 1771676144.6555
MEM 4721.453125 1771676144.7683
MEM 4721.453125 1771676144.8811
