CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 4400.066406 1771676339.5143
MEM 4444.382812 1771676339.6273
MEM 4489.226562 1771676339.7405
MEM 4533.164062 1771676339.8537
MEM 4578.707031 1771676339.9669
MEM 4622.593750 1771676340.0802
MEM 4668.007812 1771676340.1930
MEM 4711.074219 1771676340.3062
MEM 4718.863281 1771676340.4261
MEM 4718.863281 1771676340.5504
MEM 4718.863281 1771676340.6724
MEM 4718.863281 1771676340.7942
MEM 4718.863281 1771676340.9074
MEM 4718.863281 1771676341.0204
MEM 4718.863281 1771676341.1431
MEM 4718.863281 1771676341.2659
MEM 4718.863281 1771676341.3921
MEM 4718.863281 1771676341.5189
MEM 4718.863281 1771676341.6317
MEM 4718.863281 1771676341.7461
MEM 4718.863281 1771676341.8591
MEM 4718.863281 1771676341.9745
MEM 4718.863281 1771676342.0875
MEM 4718.863281 1771676342.2006
MEM 4718.863281 1771676342.3141
MEM 4718.863281 1771676342.4270
MEM 4718.863281 1771676342.5398
MEM 4718.863281 1771676342.6529
MEM 4718.863281 1771676342.7662
MEM 4718.863281 1771676342.8790
MEM 4718.863281 1771676342.9919
MEM 4718.863281 1771676343.1049
MEM 4718.863281 1771676343.2302
MEM 4718.863281 1771676343.3532
MEM 4718.863281 1771676343.4754
MEM 4718.863281 1771676343.5934
MEM 4718.863281 1771676343.7064
MEM 4718.863281 1771676343.8196
MEM 4718.863281 1771676343.9325
MEM 4718.863281 1771676344.0454
MEM 4718.863281 1771676344.1591
MEM 4718.863281 1771676344.2805
MEM 4718.863281 1771676344.3961
MEM 4718.863281 1771676344.5104
MEM 4718.863281 1771676344.6235
MEM 4718.863281 1771676344.7373
MEM 4718.863281 1771676344.8504
MEM 4718.863281 1771676344.9711
MEM 4718.863281 1771676345.1004
MEM 4718.863281 1771676345.2221
MEM 4718.863281 1771676345.3451
MEM 4718.863281 1771676345.4625
MEM 4718.863281 1771676345.5759
MEM 4718.863281 1771676345.6903
MEM 4718.863281 1771676345.8083
MEM 4718.863281 1771676345.9334
MEM 4718.863281 1771676346.0574
MEM 4718.863281 1771676346.1831
MEM 4718.863281 1771676346.3104
MEM 4718.863281 1771676346.4343
MEM 4718.863281 1771676346.5573
MEM 4718.863281 1771676346.6800
MEM 4718.863281 1771676346.8029
MEM 4718.863281 1771676346.9265
MEM 4718.863281 1771676347.0562
MEM 4718.863281 1771676347.1726
MEM 4718.863281 1771676347.3234
MEM 4718.863281 1771676347.4771
MEM 4718.863281 1771676347.6080
MEM 4718.863281 1771676347.7332
MEM 4718.863281 1771676347.8528
MEM 4718.863281 1771676347.9743
MEM 4718.863281 1771676348.0940
MEM 4718.863281 1771676348.2118
MEM 4718.863281 1771676348.3348
MEM 4718.863281 1771676348.4547
MEM 4718.863281 1771676348.5743
MEM 4718.863281 1771676348.6922
MEM 4718.863281 1771676348.8128
MEM 4718.863281 1771676348.9412
MEM 4718.863281 1771676349.0600
MEM 4718.863281 1771676349.1817
MEM 4718.863281 1771676349.3081
MEM 4718.863281 1771676349.4330
MEM 4718.863281 1771676349.6022
MEM 4718.863281 1771676349.7372
MEM 4718.863281 1771676349.8605
MEM 4718.863281 1771676349.9847
MEM 4718.863281 1771676350.1080
MEM 4718.863281 1771676350.2263
MEM 4718.863281 1771676350.3419
MEM 4718.863281 1771676350.4549
MEM 4718.863281 1771676350.5681
MEM 4718.863281 1771676350.6852
MEM 4718.863281 1771676350.7982
MEM 4718.863281 1771676350.9115
MEM 4718.863281 1771676351.0244
MEM 4718.863281 1771676351.1394
MEM 4718.863281 1771676351.2541
MEM 4718.863281 1771676351.3674
MEM 4718.863281 1771676351.5082
MEM 4718.863281 1771676351.6372
MEM 4718.863281 1771676351.7540
MEM 4718.863281 1771676351.8729
MEM 4718.863281 1771676351.9872
MEM 4718.863281 1771676352.1045
MEM 4718.863281 1771676352.2218
MEM 4718.863281 1771676352.3372
MEM 4718.863281 1771676352.4526
MEM 4718.863281 1771676352.6025
MEM 4718.863281 1771676352.7288
MEM 4718.863281 1771676352.8433
MEM 4718.863281 1771676352.9565
MEM 4718.863281 1771676353.0724
MEM 4718.863281 1771676353.1855
MEM 4718.863281 1771676353.2994
MEM 4718.863281 1771676353.4124
MEM 4718.863281 1771676353.5266
MEM 4718.863281 1771676353.6397
MEM 4718.863281 1771676353.7527
MEM 4718.863281 1771676353.8656
MEM 4718.863281 1771676354.0141
MEM 4718.863281 1771676354.1418
MEM 4718.863281 1771676354.2657
MEM 4718.863281 1771676354.3896
MEM 4718.863281 1771676354.5117
MEM 4718.863281 1771676354.6299
MEM 4718.863281 1771676354.7486
MEM 4718.863281 1771676354.8634
MEM 4718.863281 1771676354.9841
MEM 4718.863281 1771676355.0969
MEM 4718.863281 1771676355.2159
MEM 4718.863281 1771676355.3333
MEM 4718.863281 1771676355.4471
MEM 4718.863281 1771676355.5607
MEM 4718.863281 1771676355.6765
MEM 4718.863281 1771676355.7939
MEM 4718.863281 1771676355.9071
MEM 4718.863281 1771676356.0202
MEM 4718.863281 1771676356.1347
MEM 4718.863281 1771676356.2583
MEM 4718.863281 1771676356.3816
MEM 4718.863281 1771676356.5044
MEM 4718.863281 1771676356.6240
MEM 4718.863281 1771676356.7425
MEM 4718.863281 1771676356.8645
MEM 4718.863281 1771676356.9779
MEM 4718.863281 1771676357.0914
MEM 4718.863281 1771676357.2132
MEM 4718.863281 1771676357.3292
MEM 4718.863281 1771676357.4430
MEM 4718.863281 1771676357.5658
MEM 4718.863281 1771676357.6793
MEM 4718.863281 1771676357.7948
MEM 4718.863281 1771676357.9082
MEM 4718.863281 1771676358.0231
MEM 4718.863281 1771676358.1461
MEM 4718.863281 1771676358.2619
MEM 4199.046875 1771676358.3766
MEM 3007.910156 1771676358.4905
MEM 1733.519531 1771676358.6047
MEM 654.574219 1771676358.7224
MEM 49.367188 1771676358.8477
