CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 4718.367188 1771676528.2601
MEM 4718.367188 1771676528.3887
MEM 4718.367188 1771676528.5254
MEM 4718.367188 1771676528.6510
MEM 4718.367188 1771676528.7702
MEM 4718.367188 1771676528.8997
MEM 4718.367188 1771676529.0164
MEM 4718.367188 1771676529.1343
MEM 4718.367188 1771676529.2924
MEM 4718.367188 1771676529.4213
MEM 4718.367188 1771676529.5719
MEM 4718.367188 1771676529.6977
MEM 4718.367188 1771676529.8184
MEM 4718.367188 1771676529.9626
MEM 4718.367188 1771676530.0853
MEM 4718.367188 1771676530.1992
MEM 4718.367188 1771676530.3172
MEM 4718.367188 1771676530.4433
MEM 4718.367188 1771676530.5606
MEM 4718.367188 1771676530.6758
MEM 4718.367188 1771676530.7919
MEM 4718.367188 1771676530.9127
MEM 4718.367188 1771676531.0314
MEM 4718.367188 1771676531.1472
MEM 4718.367188 1771676531.2616
MEM 4718.367188 1771676531.3755
MEM 4718.367188 1771676531.4957
MEM 4718.367188 1771676531.6187
MEM 4718.367188 1771676531.7428
MEM 4718.367188 1771676531.8589
MEM 4718.367188 1771676531.9723
MEM 4718.367188 1771676532.0848
MEM 4718.367188 1771676532.1971
MEM 4718.367188 1771676532.3167
MEM 4718.367188 1771676532.4368
MEM 4718.367188 1771676532.6831
MEM 4718.367188 1771676532.8075
MEM 4718.367188 1771676532.9418
MEM 4718.367188 1771676533.0627
MEM 4718.367188 1771676533.1841
MEM 4718.367188 1771676533.2995
MEM 4718.367188 1771676533.4130
MEM 4718.367188 1771676533.5256
MEM 4718.367188 1771676533.6534
MEM 4718.367188 1771676533.7778
MEM 4718.367188 1771676533.9007
MEM 4718.367188 1771676534.0215
MEM 4718.367188 1771676534.1478
MEM 4718.367188 1771676534.3061
MEM 4718.367188 1771676534.4504
MEM 4718.367188 1771676534.5701
MEM 4718.367188 1771676534.6828
MEM 4718.367188 1771676534.7958
MEM 4718.367188 1771676534.9138
MEM 4718.367188 1771676535.0298
MEM 4718.367188 1771676535.1425
MEM 4339.554688 1771676535.2633
MEM 3167.609375 1771676535.3761
MEM 1730.238281 1771676535.4887
MEM 407.867188 1771676535.6066
MEM 48.839844 1771676535.7267
